학과,전공,학년,이수구분,코드,교과목명,분반,학점,교수,강의시간표,강의실,수강정원,강의유형구분,성적입력구분
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,A,1,최여환,수[ 3],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,C,1,최여환,화[ 2],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,D,1,최여환,수[ 2],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,E,1,최여환,화[ 3],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,120155,기계공학개론,A,2,최우영,"화[ 3, 4]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
전기전자공학과,계열(학과)공통,1학년,교양선택,120155,기계공학개론,C,2,최우영,"월[ 1, 2]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,C,2,이석운,"금[ 8, 9]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,E,2,이석운,"목[ 7, 8]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,A,1,감병곤,금[ 2],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,B,1,감병곤,금[ 7],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,C,1,감병곤,금[ 8],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,D,1,감병곤,금[ 3],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,E,1,감병곤,금[ 5],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,F,1,감병곤,금[ 6],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0124722,Python,A,3,윤종찬,"화[ 1, 2, 3]",(산협)프로젝트실5[산학협동관지상3층I302호],,이론실습,ABCDF
기계공학과,계열(학과)공통,1학년,교양선택,K0124722,Python,C,3,우상범,"수[ 5, 6, 7]",(산협)프로젝트실5[산학협동관지상3층I302호],,이론실습,ABCDF
기계공학과,계열(학과)공통,1학년,교양선택,K0124722,Python,D,3,김동근,"월[ 5, 6, 7]",(산협)프로젝트실5[산학협동관지상3층I302호],,이론실습,ABCDF
기계공학과,계열(학과)공통,2학년,교양선택,K0125216,AI활용,C,3,이쌍수,"월[ 8, 9]/목[ 1]","(외부)원격강의4[특별강의동1층S194호],(산협)프로젝트실5[산학협동관지상3층I302호]",0,이론실습,ABCDF
기계공학과,계열(학과)공통,2학년,교양선택,K0125216,AI활용,D,3,이쌍수,"월[ 8, 9]/화[ 9]","(외부)원격강의5[특별강의동1층S195호],(산협)프로젝트실5[산학협동관지상3층I302호]",0,이론실습,ABCDF
기계공학과,계열(학과)공통,2학년,교양선택,K0125216,AI활용,E,3,이쌍수,"월[ 8, 9]/수[ 1]","(외부)원격강의6[특별강의동1층S196호],(산협)프로젝트실5[산학협동관지상3층I302호]",0,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,교양선택,K0125146,AI개론,A,1,황광복,수[ 3],SW실습2실[산학협동관지상2층I204호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,교양선택,K0125146,AI개론,B,1,황광복,수[ 7],SW실습2실[산학협동관지상2층I204호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,교양선택,K0125146,AI개론,C,1,황광복,수[ 6],SW실습2실[산학협동관지상2층I204호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,A,2,김정근,"월[ 6, 7]",다목적강의실[연암미래관1층101호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,C,2,김정근,"월[ 3, 4]",다목적강의실[연암미래관1층101호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125132,HTML5/CSS,A,4,이해동,"금[ 6, 7, 8, 9]",SW합동강의실[산학협동관2층I208호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125132,HTML5/CSS,C,4,이해동,"금[ 1, 2, 3, 4]",SW합동강의실[산학협동관2층I208호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125425,컴퓨터일반,A,4,최재영,"금[ 1, 2, 3, 4]",SW실습3실[산학협동관4층I410호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125425,컴퓨터일반,B,4,최재영,"수[ 1, 2, 3, 4]",SW실습3실[산학협동관4층I410호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125425,컴퓨터일반,C,4,최재영,"화[ 1, 2, 3, 4]",SW실습3실[산학협동관4층I410호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125573,통계학실습,A,3,노근배,화[ 6]/수[ 2]/목[ 1],SW개발2실[산학협동관3층I309호],,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125573,통계학실습,B,3,노근배,화[ 7]/수[ 6]/목[ 2],SW개발2실[산학협동관3층I309호],,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,1학년,전공선택,K0125573,통계학실습,C,3,노근배,화[ 8]/수[ 3]/목[ 3],SW개발2실[산학협동관3층I309호],,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,교양선택,K0125566,바른인성과리더십,A,1,박명진,목[ 3],첨단항공강의실1[연암미래관1층106호],,이론,PNP
스마트소프트웨어학과,계열(학과)공통,2학년,교양선택,K0125566,바른인성과리더십,B,1,박명진,목[ 2],첨단항공강의실1[연암미래관1층106호],,이론,PNP
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,110922,C++프로그래밍,A,4,황광복,"화[ 6, 7, 8, 9]",SW합동강의실[산학협동관2층I208호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,110922,C++프로그래밍,B,4,황광복,"화[ 1, 2, 3, 4]",SW합동강의실[산학협동관2층I208호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125427,IoT실습,A,4,변유찬,"월[ 6, 7, 8, 9]",SW실습1실[산학협동관지상2층I207호],0,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125427,IoT실습,B,4,변유찬,"수[ 1, 2, 3, 4]",SW실습1실[산학협동관지상2층I207호],0,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125426,JAVA기초,A,2,김기욱,"화[ 1, 2]",SW실습1실[산학협동관지상2층I207호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125426,JAVA기초,B,2,김기욱,"금[ 6, 7]",SW실습1실[산학협동관지상2층I207호],,이론,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125574,JAVA프로그래밍기초,A,2,김기욱,"화[ 3, 4]",SW실습1실[산학협동관지상2층I207호],,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125574,JAVA프로그래밍기초,B,2,김기욱,"금[ 8, 9]",SW실습1실[산학협동관지상2층I207호],,실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0124242,데이터베이스,A,4,김범준,"수[ 2, 3]/금[ 6, 7]",SW실습5실[산학협동관4층I403호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0124242,데이터베이스,B,4,김범준,"수[ 6, 7]/금[ 2, 3]",SW실습5실[산학협동관4층I403호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125288,데이터사이언스,A,3,하병국,"월[ 1, 2, 3]",SW실습3실[산학협동관4층I410호],,이론실습,ABCDF
스마트소프트웨어학과,계열(학과)공통,2학년,전공선택,K0125288,데이터사이언스,B,3,하병국,"월[ 6, 7, 8]",SW실습3실[산학협동관4층I410호],,이론실습,ABCDF
스마트소프트웨어학과,SW전공,3학년,전공선택,K0125216,AI활용,A,4,이승익,"목[ 1, 2, 3, 4]",SW실습1실[산학협동관지상2층I207호],,이론실습,ABCDF
스마트소프트웨어학과,SW전공,3학년,전공선택,K0125575,소프트웨어공학실습,A,3,백용진,"수[ 1, 2, 3, 4]",SW합동강의실[산학협동관2층I208호],0,실습,ABCDF
스마트소프트웨어학과,SW전공,3학년,전공선택,K0125576,알고리즘활용,A,4,백용진,"목[ 6, 7, 8, 9]",SW실습1실[산학협동관지상2층I207호],,이론실습,ABCDF
스마트소프트웨어학과,SW전공,3학년,전공선택,110224,운영체제,A,3,이덕기,"월[ 1, 2, 3, 4]",SW실습5실[산학협동관4층I403호],0,이론실습,ABCDF
스마트소프트웨어학과,SAP전공,3학년,교양선택,K0125564,비판적사고와논리적글쓰기,A,2,이석운,"금[ 3, 4]",다목적강의실[연암미래관1층101호],,이론,ABCDF
스마트소프트웨어학과,SAP전공,3학년,전공선택,K0125479,ABAP프로그래밍,A,4,김범준,"화[ 1, 2, 3, 4]",SW실습5실[산학협동관4층I403호],,이론실습,ABCDF
스마트소프트웨어학과,SAP전공,3학년,전공선택,K0125216,AI활용,A,4,이승익,"월[ 1, 2, 3, 4]",SW실습1실[산학협동관지상2층I207호],,이론실습,ABCDF
스마트소프트웨어학과,SAP전공,3학년,전공선택,K0125478,SAP개론,A,4,이덕기,"목[ 1, 2, 3, 4]",SW실습4실[산학협동관4층I404호],0,이론실습,ABCDF
스마트소프트웨어학과,SAP전공,3학년,전공선택,110224,운영체제,A,3,이덕기,"화[ 6, 7, 8, 9]",SW실습5실[산학협동관4층I403호],0,이론실습,ABCDF
스마트기계공학과,기계공학전공,1학년,교양선택,K0125293,창의융합적문제해결,A,2,김정근,"월[ 8, 9]",다목적강의실[연암미래관1층101호],,이론실습,ABCDF
스마트기계공학과,기계공학전공,2학년,전공선택,K0125422,3D CAD UG응용,A,2,이남석,"목[ 5, 6, 7]",(산협)수치해석실습실[산학협동관3층I301호],0,이론실습,ABCDF
스마트기계공학과,기계공학전공,2학년,전공선택,K0125216,AI활용,A,3,이쌍수,"월[ 8, 9]/화[ 8]","플립드러닝A[특별강의동1층S101-1호],(산협)프로젝트실5[산학협동관지상3층I302호]",0,이론실습,ABCDF
스마트기계공학과,기계공학전공,2학년,전공선택,K0124440,동역학,A,3,신현장,"화[ 5, 6, 7]",(산협)수치해석실습실[산학협동관3층I301호],,이론,ABCDF
스마트기계공학과,기계공학전공,3학년,교양선택,K0125564,비판적사고와논리적글쓰기,A,2,강민정,"목[ 5, 6]",첨단항공강의실2[연암미래관1층107호],,이론실습,ABCDF
스마트기계공학과,기계공학전공,3학년,전공선택,K0125567,AI캡스톤디자인,A,3,신현장,"수[ 4, 5, 6]/목[ 1]",(산협)수치해석실습실[산학협동관3층I301호],,실습,ABCDF
스마트기계공학과,기계공학전공,3학년,전공선택,K0125424,수학실습및응용,A,3,신현장,"수[ 1, 2, 3]",(산협)수치해석실습실[산학협동관3층I301호],,이론실습,ABCDF
스마트기계공학과,기계공학전공,3학년,전공선택,K0125128,유한요소법개론,A,2,신현장,"월[ 6, 7]",(산협)수치해석실습실[산학협동관3층I301호],,실습,ABCDF
스마트기계공학과,기계공학전공,3학년,전공선택,K0125129,유한요소법실습,A,2,신현장,"월[ 8, 9]",(산협)수치해석실습실[산학협동관3층I301호],,실습,ABCDF
스마트전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,B,1,최신우,월[ 6],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
스마트전기전자공학과,계열(학과)공통,1학년,교양선택,K0125566,바른인성과리더십,A,1,박명진,목[ 5],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
스마트전기전자공학과,계열(학과)공통,1학년,교양선택,K0125566,바른인성과리더십,B,1,박명진,목[ 6],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
스마트전기전자공학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,A,2,이석운,"금[ 6, 7]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
스마트전기전자공학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,B,2,이석운,"금[ 1, 2]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
스마트전기전자공학과,계열(학과)공통,2학년,교양선택,120155,기계공학개론,A,2,최우영,"화[ 1, 2]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
스마트소프트웨어학과(심화),SW전공,1학년,전공선택,K0125218,컴퓨터비전,A,4,이승익,"수[ 2, 3]/금[ 2, 3]",스마트 팩토리 미러형 실습실[산학협동관2층I203호],,이론실습,ABCDF
스마트소프트웨어학과(심화),SW전공,1학년,전공선택,K0125329,표준프레임워크,A,4,강익태,"금[ 6, 7, 8, 9]",SW실습2실[산학협동관지상2층I204호],,이론실습,ABCDF
스마트소프트웨어학과(심화),SAP전공,1학년,전공선택,K0125567,AI캡스톤디자인,A,4,변유찬,"화[ 1, 2, 3, 4]",스마트 팩토리 미러형 실습실[산학협동관2층I203호],,실습,ABCDF
스마트소프트웨어학과(심화),SAP전공,1학년,전공선택,K0125583,Fiori심화,A,4,변유찬,"목[ 1, 2, 3, 4]",스마트 팩토리 미러형 실습실[산학협동관2층I203호],,이론실습,ABCDF
스마트소프트웨어학과(심화),SAP전공,1학년,전공선택,K0125577,S/4HANA ABAP프로그래밍,A,4,김범준,"목[ 6, 7, 8, 9]",스마트 팩토리 미러형 실습실[산학협동관2층I203호],,이론실습,ABCDF
스마트소프트웨어학과(심화),SAP전공,1학년,전공선택,K0125558,빅데이터실습,A,4,이덕기,"월[ 6, 7, 8]/수[ 1]",스마트 팩토리 미러형 실습실[산학협동관2층I203호],0,실습,ABCDF
공통학과,LG ES 배터리트랙,2학년,교양선택,K0125431,이문화이해,B,2,이상민,"화[ 2, 3]",LGES배터리/하이엠솔루텍 실습실[산학협동관1층I108호],30,이론,ABCDF
공통학과,LG ES 배터리트랙,2학년,전공선택,K0125306,리튬이차전지 생산요소기술,B,2,이남석,"목[ 2, 3]",LGES배터리/하이엠솔루텍 실습실[산학협동관1층I108호],30,이론,ABCDF
공통학과,LG ES 배터리트랙,2학년,전공선택,K0125222,리튬이차전지개론,B,2,이남석,"수[ 1, 2]",LGES배터리/하이엠솔루텍 실습실[산학협동관1층I108호],30,이론,ABCDF
공통학과,LG ES 배터리트랙,2학년,전공선택,110491,생산및품질관리,B,4,이쌍수,"수[ 4, 5, 6, 7]",LGES배터리/하이엠솔루텍 실습실[산학협동관1층I108호],30,이론,ABCDF
공통학과,반도체 트랙,2학년,전공선택,K0125429,반도체품질관리기초,A,3,김기범,"수[ 6, 7, 8]",반도체실습실[산학협동관3층I306호],30,이론,ABCDF
공통학과, LG전자 스마트파크,2학년,교양선택,K0125435,기업과경영1,E1,2,김창근,"월[ 6, 7]",LG전자스마트파크/LG전자 서비스 실습실[산학협동관1층I106호],30,이론,ABCDF
공통학과, LG전자 스마트파크,2학년,교양선택,K0125435,기업과경영1,E2,2,김창근,"월[ 2, 3]",LG전자스마트파크/LG전자 서비스 실습실[산학협동관1층I106호],30,이론,ABCDF
공통학과, LG전자 스마트파크,2학년,교양선택,K0125244,산업재해와사전예방,E1,2,이상민,"월[ 2, 3]",LGES배터리/하이엠솔루텍 실습실[산학협동관1층I108호],30,이론,ABCDF
공통학과, LG전자 스마트파크,2학년,교양선택,K0125244,산업재해와사전예방,E2,2,이상민,"월[ 6, 7]",LGES배터리/하이엠솔루텍 실습실[산학협동관1층I108호],30,이론,ABCDF
공통학과, LG전자 스마트파크,2학년,전공선택,110411,금형개론,E2,2,김문규,"수[ 6, 7]",LG전자스마트파크/LG전자 서비스 실습실[산학협동관1층I106호],30,이론,ABCDF
공통학과, LG전자 스마트파크,2학년,전공선택,K0125432,생산혁신,E,2,류용현,"화[ 6, 7]",다목적강의실[연암미래관1층101호],30,이론,ABCDF
공통학과,화공트랙,2학년,전공선택,K0125137,석유화학개론,C1,3,정선기,"화[ 1, 2, 3]",화공융합 실습실[산학협동관1층I111호],30,이론,ABCDF
공통학과,화공트랙,2학년,전공선택,K0125137,석유화학개론,C2,3,정선기,"월[ 6, 7, 8]",화공융합 실습실[산학협동관1층I111호],30,이론,ABCDF
공통학과,화공트랙,2학년,전공선택,K0125138,일반화학개론,C1,3,김둘선,"목[ 1, 2, 3]",화공융합 실습실[산학협동관1층I111호],30,이론,ABCDF
공통학과,화공트랙,2학년,전공선택,K0125138,일반화학개론,C2,3,김둘선,"수[ 6, 7, 8]",화공융합 실습실[산학협동관1층I111호],30,이론,ABCDF
